date,purchase_price,sale_price
2001-01-25,46.71967518,40.26
2001-01-26,46.49467095,40.24
2001-01-29,47.15965909,40.27
2001-01-30,47.59714286,40.26
2001-01-31,47.58171429,40.16
2001-02-01,46.55764376,40.12
2001-02-02,47.63379797,40.02
2001-02-05,48.06745827,39.31
2001-02-06,48.10703838,39.05
2001-02-07,47.80457143,38.94
2001-02-08,47.7,38.9
2001-02-09,47.52033898,38.82
2001-02-12,47.02247191,38.59
2001-02-13,46.36179775,38.93
2001-02-14,46.00558659,39.18
2001-02-15,45.01881852,39.6
2001-02-16,45.25271739,39.92
2001-02-19,45.43695652,40.07
2001-02-20,45.75111062,40.21
2001-02-21,46.51995565,40.26
2001-02-22,47.6005618,40.17
2001-02-23,48.4362069,40.14
2001-02-28,48.20169492,40.13
2001-03-01,47.98826816,40.09
2001-03-02,45.63188696,40.04
2001-03-05,45.69515474,40.05
2001-03-06,45.71857708,39.86
2001-03-07,46.27795527,39.98
2001-03-08,46.45574348,39.99
2001-03-09,46.83118971,39.81
2001-03-12,47.28936743,39.68
2001-03-13,47.28582996,39.54
2001-03-14,47.53297297,39.56
2001-03-15,48.02292576,39.64
2001-03-16,47.53750067,39.65
2001-03-19,47.97149415,39.41
2001-03-20,47.91039983,39.46
2001-03-21,48.98558789,39.57
2001-03-22,49.30025587,39.83
2001-03-23,49.63748404,39.94
2001-03-26,50.68533363,39.9
2001-03-27,50.69552038,40.04
2001-03-28,50.33798883,40.08
2001-03-29,50.34636872,40.08
2001-03-30,51.20170213,40.38
2001-04-02,51.18422535,40.83
2001-04-03,49.45945946,40.81
2001-04-04,48.57619048,41.13
2001-04-05,48.98630137,41.37
2001-04-06,48.71465969,41.33
2001-04-09,49.59216102,41.45
2001-04-10,49.57786561,41.58
2001-04-11,50.19402985,41.74
2001-04-12,50.35489933,41.82
2001-04-16,49.63812081,42.09
2001-04-17,49.26332454,42.12
2001-04-18,49.5420694,42.21
2001-04-19,50.23404255,42.23
2001-04-20,50.4063745,42.15
2001-04-23,50.68311095,42.17
2001-04-24,51.54652046,42.14
2001-04-25,51.59192825,42.09
2001-04-26,52.48211215,41.79
2001-04-27,53.14309859,41.73
2001-04-30,53.31988636,41.68
2001-05-02,52.61746479,41.63
2001-05-03,52.81297297,41.48
2001-05-04,52.4772973,41.43
2001-05-07,52.44265928,41.31
2001-05-08,52.28144044,40.81
2001-05-09,52.29335093,40.84
2001-05-10,52.56744754,40.24
2001-05-11,52.31166667,40.21
2001-05-14,52.49335401,40.22
2001-05-15,54.21766776,40.13
2001-05-16,55.37485516,40.3
2001-05-17,55.5017341,40.46
2001-05-18,56.05143722,40.82
2001-05-21,56.24561404,41.14
2001-05-22,56.61313433,41.22
2001-05-23,56.74199288,41.24
2001-05-24,56.19613407,41.27
2001-05-25,55.31730599,41.25
2001-05-28,55.38801485,41.19
2001-05-29,54.33725984,41.13
2001-05-30,54.20913379,41.19
2001-05-31,54.08409104,41.1
2001-06-01,53.37954545,41.03
2001-06-04,53.97613636,40.82
2001-06-05,54.21537757,40.71
2001-06-06,53.77752809,40.75
2001-06-07,55.16908213,41.07
2001-06-08,55.19174041,41.06
2001-06-11,53.47344266,41.1
2001-06-12,53.74732936,41.09
2001-06-13,52.81502086,41.19
2001-06-15,53.68806818,41.16
2001-06-18,54.16728688,41.15
2001-06-19,54.32521739,41.14
2001-06-20,53.81217391,41.12
2001-06-21,54.22280702,40.93
2001-06-22,54.47192982,40.87
2001-06-25,53.93593074,40.83
2001-06-26,52.6059417,40.68
2001-06-27,53.09449929,40.7
2001-06-28,54.43348902,40.74
2001-06-29,54.38678429,40.84
